,tdate,close_0,symbol_0,close_1,symbol_1,close_2,symbol_2,close_3,symbol_3,close_4,symbol_4,close_5,symbol_5
1273,2004/11/22,70.0,0,107.5,2,13.85,2,4.25,2.0,64.25,2,23.65,2
1274,2004/11/23,72.75,0,109.0,0,14.05,0,4.32,0.0,66.0,0,23.9,0
1275,2004/11/24,73.25,2,109.0,2,13.85,1,4.38,0.0,66.5,2,24.2,0
1276,2004/11/25,73.0,2,108.5,2,13.9,2,4.38,2.0,65.75,1,24.4,2
1277,2004/11/26,73.0,2,109.0,2,13.8,2,4.32,1.0,66.0,2,24.55,2
1278,2004/11/29,74.75,0,109.0,2,13.95,0,4.4,0.0,69.0,0,24.5,2
1279,2004/11/30,74.75,2,108.0,2,13.8,1,4.4,2.0,69.75,0,24.4,2
1280,2004/12/1,75.25,2,109.0,2,13.8,2,4.38,2.0,70.5,0,24.45,2
1281,2004/12/2,75.5,2,110.0,2,14.25,0,4.3,1.0,70.25,2,24.15,1
1282,2004/12/3,74.0,1,109.0,2,14.5,0,4.22,1.0,69.25,1,24.4,0
1283,2004/12/6,75.0,0,109.5,2,14.75,0,4.3,0.0,69.5,2,24.2,2
1284,2004/12/7,75.5,2,109.5,2,14.55,1,4.28,2.0,71.5,0,24.0,2
1285,2004/12/8,73.25,1,108.0,1,14.5,2,4.18,1.0,71.0,2,23.95,2
1286,2004/12/9,73.5,2,108.5,2,14.4,2,4.15,2.0,70.75,2,23.8,2
1287,2004/12/10,72.75,1,108.5,2,14.25,1,4.1,1.0,69.5,1,23.55,1
1288,2004/12/13,72.5,2,108.5,2,14.35,2,4.07,2.0,70.0,2,23.5,2
1289,2004/12/14,74.0,0,109.0,2,14.75,0,4.07,2.0,71.25,0,23.8,0
1290,2004/12/15,74.0,2,107.5,1,14.8,2,4.18,0.0,71.5,2,23.95,2
1291,2004/12/16,73.75,2,107.5,2,14.75,2,4.18,2.0,70.5,1,23.85,2
1292,2004/12/17,73.5,2,107.5,2,14.7,2,4.2,2.0,69.75,1,23.75,2
1293,2004/12/20,74.75,0,108.0,2,14.75,2,4.2,2.0,71.0,0,24.0,0
1294,2004/12/21,75.0,2,108.5,2,14.7,2,4.18,2.0,70.0,1,23.9,2
1295,2004/12/22,75.0,2,108.5,2,14.75,2,4.18,2.0,69.75,2,24.05,2
1296,2004/12/23,76.75,0,109.0,2,14.8,2,4.18,2.0,71.25,0,23.9,2
1297,2004/12/24,76.0,2,108.5,2,14.6,1,4.15,2.0,71.0,2,23.9,2
1298,2004/12/27,76.0,2,108.5,2,14.6,2,4.15,2.0,71.0,2,23.9,2
1299,2004/12/28,76.5,2,108.0,2,14.55,2,4.15,2.0,71.5,2,24.0,2
1300,2004/12/29,77.0,2,108.5,2,14.6,2,4.18,2.0,72.5,0,24.05,2
1301,2004/12/30,77.0,2,108.0,2,14.75,0,4.15,2.0,72.25,2,24.15,2
1302,2004/12/31,77.75,2,108.0,2,14.7,2,4.15,2.0,72.75,2,24.15,2
1303,2005/1/3,77.5,2,108.5,2,14.7,2,4.2,0.0,73.0,2,24.4,0
1304,2005/1/4,77.0,2,107.0,1,14.6,2,4.12,1.0,73.0,2,24.15,1
